,itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
0,Chocolate Builder's Bar,Blueberry Swirl,4,0.012679896024852597,4,0.012679896024852597,4,0.012679896024852597,1.0,1.0,78.865
5,Pro-V Classic Clean Conditioner,Ice Shine Pro-V Shampoo,4,0.012679896024852597,6,0.019019844037278896,4,0.012679896024852597,0.6666666666666666,1.0,52.57666666666666
8,"Deli Fresh Smoked Ham, 97% Fat Free, Gluten Free","Salsa, Verde, Roasted",4,0.012679896024852597,7,0.022189818043492043,4,0.012679896024852597,0.5714285714285715,1.0,45.065714285714286
734,"Lentil Chips, Spicy Sriracha",Awaken Aloe + Wheatgrass Drink,6,0.019019844037278896,6,0.019019844037278896,7,0.022189818043492043,1.0,0.8571428571428572,45.065714285714286
1,Crunchy Peanut Butter Energy Bar,Blueberry Swirl,4,0.012679896024852597,7,0.022189818043492043,4,0.012679896024852597,0.5714285714285715,1.0,45.065714285714286
7,Spinach and Arugula Salad,"Salsa, Verde, Roasted",4,0.012679896024852597,7,0.022189818043492043,4,0.012679896024852597,0.5714285714285715,1.0,45.065714285714286
760,"Lentil Chips, Spicy Sriracha",Peanut Butter Chocolate Chip Meal Bar,5,0.015849870031065746,6,0.019019844037278896,6,0.019019844037278896,0.8333333333333333,0.8333333333333333,43.81388888888888
784,"Lentil Chips, Spicy Sriracha",Go Mango! Organic Dried Mango Slices,4,0.012679896024852597,6,0.019019844037278896,5,0.015849870031065746,0.6666666666666666,0.8,42.06133333333333
2496,Mushroom Ravioli,Cheese Delicato Tortelloni,4,0.012679896024852597,6,0.019019844037278896,5,0.015849870031065746,0.6666666666666666,0.8,42.06133333333333
3044,Blueberry Protein Bar,Chocolate Sea Salt,5,0.015849870031065746,8,0.025359792049705194,5,0.015849870031065746,0.625,1.0,39.4325
761,Organic Bluephoria Yerba Mate,Peanut Butter Chocolate Chip Meal Bar,6,0.019019844037278896,8,0.025359792049705194,6,0.019019844037278896,0.75,1.0,39.4325
804,"Lentil Chips, Spicy Sriracha","Granola Bar, Fig, Cranberry & Hazelnut",6,0.019019844037278896,6,0.019019844037278896,8,0.025359792049705194,1.0,0.75,39.4325
824,"Lentil Chips, Spicy Sriracha",Base Cookie Dough Protein Bar,6,0.019019844037278896,6,0.019019844037278896,8,0.025359792049705194,1.0,0.75,39.4325
836,"Lentil Chips, Spicy Sriracha",Builder's Chocolate Peanut Butter Bar,6,0.019019844037278896,6,0.019019844037278896,8,0.025359792049705194,1.0,0.75,39.4325
736,Base Cookie Dough Protein Bar,Awaken Aloe + Wheatgrass Drink,7,0.022189818043492043,8,0.025359792049705194,7,0.022189818043492043,0.875,1.0,39.4325
896,Organic Bluephoria Yerba Mate,Blueberry Sheep Milk Yogurt,6,0.019019844037278896,8,0.025359792049705194,6,0.019019844037278896,0.75,1.0,39.4325
898,Yerba Mate Orange Exuberance Tea,Blueberry Sheep Milk Yogurt,6,0.019019844037278896,8,0.025359792049705194,6,0.019019844037278896,0.75,1.0,39.4325
762,Base Cookie Dough Protein Bar,Peanut Butter Chocolate Chip Meal Bar,6,0.019019844037278896,8,0.025359792049705194,6,0.019019844037278896,0.75,1.0,39.4325
735,Organic Bluephoria Yerba Mate,Awaken Aloe + Wheatgrass Drink,7,0.022189818043492043,8,0.025359792049705194,7,0.022189818043492043,0.875,1.0,39.4325
3043,Protein Bar Mint Chocolate,Chocolate Sea Salt,5,0.015849870031065746,8,0.025359792049705194,5,0.015849870031065746,0.625,1.0,39.4325
3033,Raspberry Chocolate Chip Gelato,Belgian Milk Chocolate Gelato,4,0.012679896024852597,8,0.025359792049705194,4,0.012679896024852597,0.5,1.0,39.4325
863,Apricot  Walnut & Coconut Granola Bar,Organic Date Pecan & Coconut Granola Bar,6,0.019019844037278896,7,0.022189818043492043,7,0.022189818043492043,0.8571428571428572,0.8571428571428572,38.62775510204082
738,Apricot  Walnut & Coconut Granola Bar,Awaken Aloe + Wheatgrass Drink,6,0.019019844037278896,7,0.022189818043492043,7,0.022189818043492043,0.8571428571428572,0.8571428571428572,38.62775510204082
881,"Lentil Chips, Spicy Sriracha",Apricot  Walnut & Coconut Granola Bar,5,0.015849870031065746,6,0.019019844037278896,7,0.022189818043492043,0.8333333333333333,0.7142857142857143,37.554761904761904
859,"Lentil Chips, Spicy Sriracha",Organic Date Pecan & Coconut Granola Bar,5,0.015849870031065746,6,0.019019844037278896,7,0.022189818043492043,0.8333333333333333,0.7142857142857143,37.554761904761904
3190,XXX Acai Blueberry Pomegranate,Pocky Chocolate Cream covered Biscuit Sticks,4,0.012679896024852597,7,0.022189818043492043,5,0.015849870031065746,0.5714285714285715,0.8,36.052571428571426
3047,Double Chocolate Chip Protein Bar,White Chocolate & Raspberry Protein Bar,4,0.012679896024852597,5,0.015849870031065746,7,0.022189818043492043,0.8,0.5714285714285715,36.052571428571426
13,"Deli Fresh Smoked Ham, 97% Fat Free, Gluten Free",Gluten Free Whole Grain Bagels,4,0.012679896024852597,7,0.022189818043492043,5,0.015849870031065746,0.5714285714285715,0.8,36.052571428571426
12,Spinach and Arugula Salad,Gluten Free Whole Grain Bagels,4,0.012679896024852597,7,0.022189818043492043,5,0.015849870031065746,0.5714285714285715,0.8,36.052571428571426
788,Organic Date Pecan & Coconut Granola Bar,Go Mango! Organic Dried Mango Slices,4,0.012679896024852597,7,0.022189818043492043,5,0.015849870031065746,0.5714285714285715,0.8,36.052571428571426
789,Awaken Aloe + Wheatgrass Drink,Go Mango! Organic Dried Mango Slices,4,0.012679896024852597,7,0.022189818043492043,5,0.015849870031065746,0.5714285714285715,0.8,36.052571428571426
3080,Fat Free Classic Ranch Dressing,Whole Grains Double Fiber Bread,4,0.012679896024852597,5,0.015849870031065746,7,0.022189818043492043,0.8,0.5714285714285715,36.052571428571426
787,Apricot  Walnut & Coconut Granola Bar,Go Mango! Organic Dried Mango Slices,4,0.012679896024852597,7,0.022189818043492043,5,0.015849870031065746,0.5714285714285715,0.8,36.052571428571426
3191,Apricot Mango Juice,Peanut Butter Crunch Cereal,4,0.012679896024852597,4,0.012679896024852597,9,0.02852976605591834,1.0,0.4444444444444445,35.05111111111111
2,Dark Chocolate Cherry Cashew Plus Antioxidants Bars,Blueberry Swirl,4,0.012679896024852597,9,0.02852976605591834,4,0.012679896024852597,0.4444444444444445,1.0,35.05111111111111
3200,Sweet & Spicy Tuna Creations,Tuna Creations Chunk Light Tuna Lemon Pepper Single Serve,6,0.019019844037278896,9,0.02852976605591834,6,0.019019844037278896,0.6666666666666667,1.0,35.05111111111111
895,"Lentil Chips, Spicy Sriracha",Blueberry Sheep Milk Yogurt,4,0.012679896024852597,6,0.019019844037278896,6,0.019019844037278896,0.6666666666666666,0.6666666666666666,35.051111111111105
3204,Pomegranate Terere,Unsweetened Terere Yerba Mate,4,0.012679896024852597,6,0.019019844037278896,6,0.019019844037278896,0.6666666666666666,0.6666666666666666,35.051111111111105
806,Base Cookie Dough Protein Bar,"Granola Bar, Fig, Cranberry & Hazelnut",7,0.022189818043492043,8,0.025359792049705194,8,0.025359792049705194,0.875,0.875,34.5034375
805,Organic Bluephoria Yerba Mate,"Granola Bar, Fig, Cranberry & Hazelnut",7,0.022189818043492043,8,0.025359792049705194,8,0.025359792049705194,0.875,0.875,34.5034375
